No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Ef_HP,Ef_Attack,Ef_Defense,Ef_SP_Attack,Ef_SP_Defense,Ef_Speed
16,Pidgey,Pidgey,1,0.3m,1.8kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,255,50,1058960,Ordinary,,,40,45,40,35,35,56,251,0,0,0,0,0,1
17,Pidgeotto,Pidgeotto,1,1.1m,30.0kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,120,122,1058960,Ordinary,,,63,60,55,50,50,71,349,0,0,0,0,0,2
18,Pidgeot,Pidgeot,1,1.5m,39.5kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,45,216,1058960,Ordinary,,,83,80,75,70,70,101,479,0,0,0,0,0,3
19,Rattata,Rattata,1,0.3m,3.5kg,Normal,,Run Away,Guts,Hustle,Purple,50,50,0,15,Ground,,255,51,1000000,Ordinary,,,30,56,35,25,35,72,253,0,0,0,0,0,1
20,Raticate,Raticate,1,0.7m,18.5kg,Normal,,Run Away,Guts,Hustle,Brown,50,50,0,15,Ground,,127,145,1000000,Ordinary,,,55,81,60,50,70,97,413,0,0,0,0,0,2
21,Spearow,Spearow,1,0.3m,2.0kg,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,255,52,1000000,Ordinary,,,40,60,30,31,31,70,262,0,0,0,0,0,1
22,Fearow,Fearow,1,1.2m,38.0kg,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,90,155,1000000,Ordinary,,,65,90,65,61,61,100,442,0,0,0,0,0,2
23,Ekans,Ekans,1,2.0m,6.9kg,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,255,58,1000000,Ordinary,,,35,60,44,40,54,55,288,0,1,0,0,0,0
24,Arbok,Arbok,1,3.5m,65.0kg,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,90,157,1000000,Ordinary,,,60,95,69,65,79,80,448,0,2,0,0,0,0
25,Pikachu,Pikachu,1,0.4m,6.0kg,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,190,112,1000000,Ordinary,,,35,55,40,50,50,90,320,0,0,0,0,0,2
26,Raichu,Raichu,1,0.8m,30.0kg,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,,60,90,55,90,80,110,485,0,0,0,0,0,3
27,Sandshrew,Sandshrew,1,0.6m,12.0kg,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,255,60,1000000,Ordinary,,,50,75,85,20,30,40,300,0,0,1,0,0,0
28,Sandslash,Sandslash,1,1.0m,29.5kg,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,90,158,1000000,Ordinary,,,75,100,110,45,55,65,450,0,0,2,0,0,0
29,Nidoran F,Nidoran F,1,0.4m,7.0kg,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Monster,Ground,235,55,1058960,Ordinary,,,55,47,52,40,40,41,275,1,0,0,0,0,0
30,Nidorina,Nidorina,1,0.8m,20.0kg,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Undiscovered,,120,128,1058960,Ordinary,,,70,62,67,55,55,56,365,2,0,0,0,0,0
31,Nidoqueen,Nidoqueen,1,1.3m,60.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0,100,0,20,Undiscovered,,45,253,1058960,Ordinary,,,90,92,87,75,85,76,505,3,0,0,0,0,0
32,Nidoran M,Nidoran M,1,0.5m,9.0kg,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,235,55,1058960,Ordinary,,,46,57,40,40,40,50,273,0,1,0,0,0,0
33,Nidorino,Nidorino,1,0.9m,19.5kg,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,120,128,1058960,Ordinary,,,61,72,57,55,55,65,365,0,2,0,0,0,0
34,Nidoking,Nidoking,1,1.4m,62.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100,0,0,20,Monster,Ground,45,253,1058960,Ordinary,,,81,102,77,85,75,85,505,0,3,0,0,0,0
35,Clefairy,Clefairy,1,0.6m,7.5kg,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25,75,0,10,Fairy,,150,113,800000,Ordinary,,,70,45,48,60,65,35,323,2,0,0,0,0,0
36,Clefable,Clefable,1,1.3m,40.0kg,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25,75,0,10,Fairy,,25,242,800000,Ordinary,,,95,70,73,95,90,60,483,3,0,0,0,0,0
37,Vulpix,Vulpix,1,0.6m,9.9kg,Fire,,Flash Fire,,Drought,Brown,25,75,0,20,Ground,,190,60,1000000,Ordinary,,,38,41,40,50,65,65,299,0,0,0,0,0,1
38,Ninetales,Ninetales,1,1.1m,19.9kg,Fire,,Flash Fire,,Drought,Yellow,25,75,0,20,Ground,,75,177,1000000,Ordinary,,,73,76,75,81,100,100,505,0,0,0,0,1,1
39,Jigglypuff,Jigglypuff,1,0.5m,5.5kg,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25,75,0,10,Fairy,,170,95,800000,Ordinary,,,115,45,20,45,25,20,270,2,0,0,0,0,0
40,Wigglytuff,Wigglytuff,1,1.0m,12.0kg,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25,75,0,10,Fairy,,50,218,800000,Ordinary,,,140,70,45,85,50,45,435,3,0,0,0,0,0
41,Zubat,Zubat,1,0.8m,7.5kg,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,255,49,1000000,Ordinary,,,40,45,35,30,40,55,245,0,0,0,0,0,1
42,Golbat,Golbat,1,1.6m,55.0kg,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,90,159,1000000,Ordinary,,,75,80,70,65,75,90,455,0,0,0,0,0,2
43,Oddish,Oddish,1,0.5m,5.4kg,Grass,Poison,Chlorophyll,,Run Away,Blue,50,50,0,20,Grass,,255,64,1058960,Ordinary,,,45,50,55,75,65,30,320,0,0,0,1,0,0
44,Gloom,Gloom,1,0.8m,8.6kg,Grass,Poison,Chlorophyll,,Stench,Blue,50,50,0,20,Grass,,120,138,1058960,Ordinary,,,60,65,70,85,75,40,395,0,0,0,2,0,0
45,Vileplume,Vileplume,1,1.2m,18.6kg,Grass,Poison,Chlorophyll,,Effect Spore,Red,50,50,0,20,Grass,,45,245,1058960,Ordinary,,,75,80,85,110,90,50,490,0,0,0,3,0,0
46,Paras,Paras,1,0.3m,5.4kg,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,190,57,1000000,Ordinary,,,35,70,55,45,55,25,285,0,1,0,0,0,0
47,Parasect,Parasect,1,1.0m,29.5kg,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,75,142,1000000,Ordinary,,,60,95,80,60,80,30,405,0,2,1,0,0,0
48,Venonat,Venonat,1,1.0m,30.0kg,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50,50,0,20,Bug,,190,61,1000000,Ordinary,,,60,55,50,40,55,45,305,0,0,0,0,1,0
49,Venomoth,Venomoth,1,1.5m,12.5kg,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50,50,0,20,Bug,,75,158,1000000,Ordinary,,,70,65,60,90,75,90,450,0,0,0,1,0,1
50,Diglett,Diglett,1,0.2m,0.8kg,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,,10,55,25,35,45,95,265,0,0,0,0,0,1
51,Dugtrio,Dugtrio,1,0.7m,33.3kg,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,,35,100,50,50,70,120,425,0,0,0,0,0,2
52,Meowth,Meowth,1,0.4m,4.2kg,Normal,,Pickup,Technician,Unnerve,Yellow,50,50,0,20,Ground,,255,58,1000000,Ordinary,,,40,45,35,40,40,90,290,0,0,0,0,0,1
53,Persian,Persian,1,1.0m,32.0kg,Normal,,Limber,Technician,Unnerve,Yellow,50,50,0,20,Ground,,90,154,1000000,Ordinary,,,65,70,60,65,65,115,440,0,0,0,0,0,2
54,Psyduck,Psyduck,1,0.8m,19.6kg,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50,50,0,20,Water1,Ground,190,64,1000000,Ordinary,,,50,52,48,65,50,55,320,0,0,0,1,0,0
55,Golduck,Golduck,1,1.7m,76.6kg,Water,,Damp,Cloud Nine,Swift Swim,Blue,50,50,0,20,Water1,Ground,75,175,1000000,Ordinary,,,80,82,78,95,80,85,500,0,0,0,2,0,0
56,Mankey,Mankey,1,0.5m,28.0kg,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,190,61,1000000,Ordinary,,,40,80,35,35,45,70,305,0,1,0,0,0,0
57,Primeape,Primeape,1,1.0m,32.0kg,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,75,159,1000000,Ordinary,,,65,105,60,60,70,95,455,0,2,0,0,0,0
58,Growlithe,Growlithe,1,0.7m,19.0kg,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,,,55,70,45,70,50,60,350,0,1,0,0,0,0
59,Arcanine,Arcanine,1,1.9m,155.0kg,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,,,90,110,80,100,80,95,555,0,2,0,0,0,0
60,Poliwag,Poliwag,1,0.6m,12.4kg,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,255,60,1058960,Ordinary,,,40,50,40,40,40,90,300,0,0,0,0,0,1
61,Poliwhirl,Poliwhirl,1,1.0m,20.0kg,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,120,135,1058960,Ordinary,,,65,65,65,50,50,90,385,0,0,0,0,0,2
62,Poliwrath,Poliwrath,1,1.3m,54.0kg,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,45,255,1058960,Ordinary,,,90,95,95,70,90,70,510,0,0,3,0,0,0
63,Abra,Abra,1,0.9m,19.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,200,62,1058960,Ordinary,,,25,20,15,105,55,90,310,0,0,0,1,0,0
64,Kadabra,Kadabra,1,1.3m,56.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,100,140,1058960,Ordinary,,,40,35,30,120,70,105,400,0,0,0,2,0,0
65,Alakazam,Alakazam,1,1.5m,48.0kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,50,250,1058960,Ordinary,,,55,50,45,135,95,120,500,0,0,0,3,0,0
66,Machop,Machop,1,0.8m,19.5kg,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,180,61,1058960,Ordinary,,,70,80,50,35,35,35,305,0,1,0,0,0,0
67,Machoke,Machoke,1,1.5m,70.5kg,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,90,142,1058960,Ordinary,,,80,100,70,50,60,45,405,0,2,0,0,0,0
68,Machamp,Machamp,1,1.6m,130.0kg,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,45,253,1058960,Ordinary,,,90,130,80,65,85,55,505,0,3,0,0,0,0
69,Bellsprout,Bellsprout,1,0.7m,4.0kg,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,255,60,1058960,Ordinary,,,50,75,35,70,30,40,300,0,1,0,0,0,0
70,Weepinbell,Weepinbell,1,1.0m,6.4kg,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,120,137,1058960,Ordinary,,,65,90,50,85,45,55,390,0,2,0,0,0,0
71,Victreebel,Victreebel,1,1.7m,15.5kg,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,45,221,1058960,Ordinary,,,80,105,65,100,70,70,490,0,3,0,0,0,0
72,Tentacool,Tentacool,1,0.9m,45.5kg,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,190,67,1250000,Ordinary,,,40,40,35,50,100,70,335,0,0,0,0,1,0
73,Tentacruel,Tentacruel,1,1.6m,55.0kg,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,60,180,1250000,Ordinary,,,80,70,65,80,120,100,515,0,0,0,0,2,0
74,Geodude,Geodude,1,0.4m,20.0kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,255,60,1058960,Ordinary,,,40,80,100,30,30,20,300,0,0,1,0,0,0
75,Graveler,Graveler,1,1.0m,105.0kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,120,137,1058960,Ordinary,,,55,95,115,45,45,35,390,0,0,2,0,0,0
76,Golem,Golem,1,1.4m,300.0kg,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,45,223,1058960,Ordinary,,,80,120,130,55,65,45,495,0,0,3,0,0,0
77,Ponyta,Ponyta,1,1.0m,30.0kg,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,190,82,1000000,Ordinary,,,50,85,55,65,65,90,410,0,0,0,0,0,1
78,Rapidash,Rapidash,1,1.7m,95.0kg,Fire,,Run Away,Flash Fire,Flame Body,Yellow,50,50,0,20,Ground,,60,175,1000000,Ordinary,,,65,100,70,80,80,105,500,0,0,0,0,0,2
79,Slowpoke,Slowpoke,1,1.2m,36.0kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,190,63,1000000,Ordinary,,,90,65,65,40,40,15,315,1,0,0,0,0,0
80,Slowbro,Slowbro,1,1.6m,78.5kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,Pink,50,50,0,20,Monster,Water1,75,172,1000000,Ordinary,,,95,75,110,100,80,30,490,0,0,2,0,0,0
81,Magnemite,Magnemite,1,0.3m,6.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,190,65,1000000,Ordinary,,,25,35,70,95,55,45,325,0,0,0,1,0,0
82,Magneton,Magneton,1,1.0m,60.0kg,Electric,Steel,Magnet Pull,Sturdy,Analytic,Gray,0,0,100,20,Mineral,,60,163,1000000,Ordinary,,,50,60,95,120,70,70,465,0,0,0,2,0,0
83,Farfetch'd,Farfetch'd,1,0.8m,15.0kg,Normal,Flying,Keen Eye,Inner Focus,Defiant,Brown,50,50,0,20,Flying,Ground,45,132,1000000,Ordinary,,,52,90,55,58,62,60,377,0,1,0,0,0,0
84,Doduo,Doduo,1,1.4m,39.2kg,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,190,62,1000000,Ordinary,,,35,85,45,35,35,75,310,0,1,0,0,0,0
85,Dodrio,Dodrio,1,1.8m,85.2kg,Normal,Flying,Run Away,Early Bird,Tangled Feet,Brown,50,50,0,20,Flying,,45,165,1000000,Ordinary,,,60,110,70,60,60,110,470,0,2,0,0,0,0
86,Seel,Seel,1,1.1m,90.0kg,Water,,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,190,65,1000000,Ordinary,,,65,45,55,45,70,45,325,0,0,0,0,1,0
87,Dewgong,Dewgong,1,1.7m,120.0kg,Water,Ice,Thick Fat,Hydration,Ice Body,White,50,50,0,20,Water1,Ground,75,166,1000000,Ordinary,,,90,70,80,70,95,70,475,0,0,0,0,2,0
88,Grimer,Grimer,1,0.9m,30.0kg,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,190,65,1000000,Ordinary,,,80,80,50,40,50,25,325,1,0,0,0,0,0
89,Muk,Muk,1,1.2m,30.0kg,Poison,,Stench,Sticky Hold,Poison Touch,Purple,50,50,0,20,Amorphous,,75,175,1000000,Ordinary,,,105,105,75,65,100,50,500,1,1,0,0,0,0
90,Shellder,Shellder,1,0.3m,4.0kg,Water,,Shell Armor,Skill Link,Overcoat,Purple,50,50,0,20,Water3,,190,61,1250000,Ordinary,,,30,65,100,45,25,40,305,0,0,1,0,0,0
91,Cloyster,Cloyster,1,1.5m,132.5kg,Water,Ice,Shell Armor,Skill Link,Overcoat,Purple,50,50,0,20,Water3,,60,184,1250000,Ordinary,,,50,95,180,85,45,70,525,0,0,2,0,0,0
92,Gastly,Gastly,1,1.3m,0.1kg,Ghost,Poison,Levitate,,,Purple,50,50,0,20,Amorphous,,190,62,1058960,Ordinary,,,30,35,30,100,35,80,310,0,0,0,1,0,0
93,Haunter,Haunter,1,1.6m,0.1kg,Ghost,Poison,Levitate,,,Purple,50,50,0,20,Amorphous,,90,142,1058960,Ordinary,,,45,50,45,115,55,95,405,0,0,0,2,0,0
94,Gengar,Gengar,1,1.5m,40.5kg,Ghost,Poison,Cursed Body,,,Purple,50,50,0,20,Amorphous,,45,250,1058960,Ordinary,,,60,65,60,130,75,110,500,0,0,0,3,0,0
95,Onix,Onix,1,8.8m,210.0kg,Rock,Ground,Rock Head,Sturdy,Weak Armor,Gray,50,50,0,25,Mineral,,45,77,1000000,Ordinary,,,35,45,160,30,45,70,385,0,0,1,0,0,0
96,Drowzee,Drowzee,1,1.0m,32.4kg,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,50,50,0,20,Human-Like,,190,66,1000000,Ordinary,,,60,48,45,43,90,42,328,0,0,0,0,1,0
97,Hypno,Hypno,1,1.6m,75.6kg,Psychic,,Insomnia,Forewarn,Inner Focus,Yellow,50,50,0,20,Human-Like,,75,169,1000000,Ordinary,,,85,73,70,73,115,67,483,0,0,0,0,2,0
98,Krabby,Krabby,1,0.4m,6.5kg,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,50,50,0,20,Water3,,225,65,1000000,Ordinary,,,30,105,90,25,25,50,325,0,1,0,0,0,0
99,Kingler,Kingler,1,1.3m,60.0kg,Water,,Hyper Cutter,Shell Armor,Sheer Force,Red,50,50,0,20,Water3,,60,166,1000000,Ordinary,,,55,130,115,50,50,75,475,0,2,0,0,0,0
100,Voltorb,Voltorb,1,0.5m,10.4kg,Electric,,Soundproof,Static,Aftermath,Red,0,0,100,20,Mineral,,190,66,1000000,Ordinary,,,40,30,50,55,55,100,330,0,0,0,0,0,1
101,Electrode,Electrode,1,1.2m,66.6kg,Electric,,Soundproof,Static,Aftermath,Red,0,0,100,20,Mineral,,60,172,1000000,Ordinary,,,60,50,70,80,80,150,490,0,0,0,0,0,2
102,Exeggcute,Exeggcute,1,0.4m,2.5kg,Grass,Psychic,Chlorophyll,,Harvest,Pink,50,50,0,20,Grass,,90,65,1250000,Ordinary,,,60,40,80,60,45,40,325,0,0,1,0,0,0
103,Exeggutor,Exeggutor,1,2.0m,120.0kg,Grass,Psychic,Chlorophyll,,Harvest,Yellow,50,50,0,20,Grass,,45,186,1250000,Ordinary,,,95,95,85,125,75,55,530,0,0,0,2,0,0
104,Cubone,Cubone,1,0.4m,6.5kg,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,50,50,0,20,Monster,,190,64,1000000,Ordinary,,,50,50,95,40,50,35,320,0,0,1,0,0,0
105,Marowak,Marowak,1,1.0m,45.0kg,Ground,,Rock Head,Lightning Rod,Battle Armor,Brown,50,50,0,20,Monster,,75,149,1000000,Ordinary,,,60,80,110,50,80,45,425,0,0,2,0,0,0
106,Hitmonlee,Hitmonlee,1,1.5m,49.8kg,Fighting,,Limber,Reckless,Unburden,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,,,50,120,53,35,110,87,455,0,2,0,0,0,0
107,Hitmonchan,Hitmonchan,1,1.4m,50.2kg,Fighting,,Keen Eye,Iron Fist,Inner Focus,Brown,100,0,0,25,Human-Like,,45,159,1000000,Ordinary,,,50,105,79,35,110,76,455,0,0,0,0,2,0
108,Lickitung,Lickitung,1,1.2m,65.5kg,Normal,,Own Tempo,Oblivious,Cloud Nine,Pink,50,50,0,20,Monster,,45,77,1000000,Ordinary,,,90,55,75,60,75,30,385,2,0,0,0,0,0
109,Koffing,Koffing,1,0.6m,1.0kg,Poison,,Levitate,Neutralizing Gas,Stench,Purple,50,50,0,20,Amorphous,,190,68,1000000,Ordinary,,,40,65,95,60,45,35,340,0,0,1,0,0,0
110,Weezing,Weezing,1,1.2m,9.5kg,Poison,,Levitate,Neutralizing Gas,Stench,Purple,50,50,0,20,Amorphous,,60,172,1000000,Ordinary,,,65,90,120,85,70,60,490,0,0,2,0,0,0
111,Rhyhorn,Rhyhorn,1,1.0m,115.0kg,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,50,50,0,20,Monster,Ground,120,69,1250000,Ordinary,,,80,85,95,30,30,25,345,0,0,1,0,0,0
112,Rhydon,Rhydon,1,1.9m,120.0kg,Ground,Rock,Lightning Rod,Rock Head,Reckless,Gray,50,50,0,20,Monster,Ground,60,170,1250000,Ordinary,,,105,130,120,45,45,40,485,0,2,0,0,0,0
113,Chansey,Chansey,1,1.1m,34.6kg,Normal,,Natural Cure,Serene Grace,Healer,Pink,0,100,0,40,Fairy,,30,395,800000,Ordinary,,,250,5,5,35,105,50,450,2,0,0,0,0,0
114,Tangela,Tangela,1,1.0m,35.0kg,Grass,,Chlorophyll,Leaf Guard,Regenerator,Blue,50,50,0,20,Grass,,45,87,1000000,Ordinary,,,65,55,115,100,40,60,435,0,0,1,0,0,0
115,Kangaskhan,Kangaskhan,1,2.2m,80.0kg,Normal,,Early Bird,Scrappy,Inner Focus,Brown,0,100,0,20,Monster,,45,172,1000000,Ordinary,,,105,95,80,40,80,90,490,2,0,0,0,0,0
116,Horsea,Horsea,1,0.4m,8.0kg,Water,,Swift Swim,Sniper,Damp,Blue,50,50,0,20,Water1,Dragon,225,59,1000000,Ordinary,,,30,40,70,70,25,60,295,0,0,0,1,0,0
117,Seadra,Seadra,1,1.2m,25.0kg,Water,,Poison Point,Sniper,Damp,Blue,50,50,0,20,Water1,Dragon,75,154,1000000,Ordinary,,,55,65,95,95,45,85,440,0,0,1,1,0,0
118,Goldeen,Goldeen,1,0.6m,15.0kg,Water,,Swift Swim,Water Veil,Lightning Rod,Red,50,50,0,20,Water2,,225,64,1000000,Ordinary,,,45,67,60,35,50,63,320,0,1,0,0,0,0
119,Seaking,Seaking,1,1.3m,39.0kg,Water,,Swift Swim,Water Veil,Lightning Rod,Red,50,50,0,20,Water2,,60,158,1000000,Ordinary,,,80,92,65,65,80,68,450,0,2,0,0,0,0
120,Staryu,Staryu,1,0.8m,34.5kg,Water,,Illuminate,Natural Cure,Analytic,Brown,0,0,100,20,Water3,,225,68,1250000,Ordinary,,,30,45,55,70,55,85,340,0,0,0,0,0,1
121,Starmie,Starmie,1,1.1m,80.0kg,Water,Psychic,Illuminate,Natural Cure,Analytic,Purple,0,0,100,20,Water3,,60,182,1250000,Ordinary,,,60,75,85,100,85,115,520,0,0,0,0,0,2
122,Mr. Mime,Mr. Mime,1,1.3m,54.5kg,Psychic,Fairy,Soundproof,Filter,Technician,Pink,50,50,0,25,Human-Like,,45,161,1000000,Ordinary,,,40,45,65,100,120,90,460,0,0,0,0,2,0
